locus_tag,old_locus_tag,gene_name,cycbio_gene_name,cycbio_gene_product,gene_product,COG,uniprot,start,end,strand
SYNPCC7942_RS00690,Synpcc7942_0136,SYNPCC7942_RS00690,SYNPCC7942_0136,phage integrase,site-specific integrase,"Replication, recombination and repair",A0A0H3K2U8,136706,138013,-
SYNPCC7942_RS00695,Synpcc7942_0137,SYNPCC7942_RS00695,hemH,ferrochelatase,ferrochelatase,Coenzyme transport and metabolism,Q31S00,138115,139278,+
SYNPCC7942_RS00700,Synpcc7942_0138,SYNPCC7942_RS00700,SYNPCC7942_0138,"Membrane proteins, metalloendopeptidases-like",M23 family metallopeptidase,Cell wall/membrane/envelope biogenesis,Q31RZ9,139416,140018,+
SYNPCC7942_RS00705,Synpcc7942_0139,ilvB,ilvB,"acetolactate synthase, large subunit, biosynthetic type",biosynthetic-type acetolactate synthase large subunit,Coenzyme transport and metabolism,Q31RZ8,140268,142106,+
SYNPCC7942_RS00710,Synpcc7942_0140,SYNPCC7942_RS00710,SYNPCC7942_0140,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K3D1,142233,142631,-
SYNPCC7942_RS00715,Synpcc7942_0141,secF,secF,SecF protein,protein translocase subunit SecF,"Intracellular trafficking, secretion, and vesicular transport",Q31RZ6,142618,143562,-
SYNPCC7942_RS00720,Synpcc7942_0142,secD,secD,protein-export membrane protein SecD,protein translocase subunit SecD,"Intracellular trafficking, secretion, and vesicular transport",Q31RZ5,143572,144966,-
SYNPCC7942_RS00725,Synpcc7942_0143,SYNPCC7942_RS00725,SYNPCC7942_RS00725,SYNPCC7942_RS00725,alpha-ketoacid dehydrogenase subunit beta,Energy production and conversion,Q31RZ4,145003,145983,-
SYNPCC7942_RS00730,Synpcc7942_0144,SYNPCC7942_RS00730,SYNPCC7942_0144,conserved hypothetical protein,DUF4281 domain-containing protein,Function unknown,A0A0H3K9B2,146268,146720,+
SYNPCC7942_RS00735,Synpcc7942_0145,SYNPCC7942_RS00735,SYNPCC7942_0145,conserved hypothetical protein,DUF3082 domain-containing protein,Function unknown,A0A0H3K3C8,146717,147040,-
SYNPCC7942_RS00740,Synpcc7942_0146,SYNPCC7942_RS00740,SYNPCC7942_0146,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31RZ1,147160,147855,+
SYNPCC7942_RS00745,Synpcc7942_0147,SYNPCC7942_RS00745,SYNPCC7942_0147,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2T6,148159,148491,-
SYNPCC7942_RS00750,Synpcc7942_0148,SYNPCC7942_RS00750,SYNPCC7942_0148,conserved hypothetical protein,bifunctional aminoglycoside phosphotransferase/ATP-binding protein,Function unknown,Q31RY9,148646,150190,+
SYNPCC7942_RS00755,Synpcc7942_0149,SYNPCC7942_RS00755,ogt,methylated-DNA--protein-cysteine methyltransferase,methylated-DNA--[protein]-cysteine S-methyltransferase,"Replication, recombination and repair",Q31RY8,150187,150744,-
SYNPCC7942_RS00760,Synpcc7942_0150,SYNPCC7942_RS00760,dpm,Dolichyl-phosphate beta-D-mannosyltransferase,glycosyltransferase,Cell wall/membrane/envelope biogenesis,UPI0000460168,150752,151858,-
SYNPCC7942_RS00765,Synpcc7942_0151,SYNPCC7942_RS00765,psfR,PsbAI-stimulating factor,response regulator,Signal transduction mechanisms,Q31RY6,152527,154917,+
SYNPCC7942_RS00770,Synpcc7942_0152,SYNPCC7942_RS00770,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,Q5N2C7,154914,156020,-
SYNPCC7942_RS00775,Synpcc7942_0153,SYNPCC7942_RS00775,SYNPCC7942_0153,conserved hypothetical protein,DUF3134 domain-containing protein,Function unknown,A0A0H3K2T0,156026,156307,-
SYNPCC7942_RS00780,Synpcc7942_0154,SYNPCC7942_RS00780,SYNPCC7942_0154,hypothetical protein,PAP/fibrillin family protein,Function unknown,A0A0H3K2Q2,156340,156957,+
SYNPCC7942_RS00785,Synpcc7942_0155,SYNPCC7942_RS00785,SYNPCC7942_0155,hypothetical protein,hypothetical protein,No COG annotation,Q31RY2,156954,157184,+
SYNPCC7942_RS00790,Synpcc7942_0156,SYNPCC7942_RS00790,pgm1,phosphoglucomutase,alpha-D-glucose phosphate-specific phosphoglucomutase,Carbohydrate transport and metabolism,A0A0H3K999,157210,158841,-
SYNPCC7942_RS00795,Synpcc7942_0157,SYNPCC7942_RS00795,SYNPCC7942_0157,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K3C1,159042,159560,-
SYNPCC7942_RS00800,Synpcc7942_0158,moeB,SYNPCC7942_0158,rhodanese,molybdopterin-synthase adenylyltransferase MoeB,Coenzyme transport and metabolism,Q31RX9,159996,161171,-
SYNPCC7942_RS00805,Synpcc7942_0159,SYNPCC7942_RS00805,SYNPCC7942_0159,Mov34/MPN/PAD-1,M67 family metallopeptidase,Function unknown,A0A0H3K2S3,161198,161632,-
SYNPCC7942_RS00810,Synpcc7942_0160,SYNPCC7942_RS00810,era,GTP-binding protein Era,GTPase Era,Function unknown,A0A0H3K2P6,161726,162661,+
SYNPCC7942_RS00815,Synpcc7942_0161,SYNPCC7942_RS00815,SYNPCC7942_0161,conserved hypothetical protein,phycobiliprotein lyase,Coenzyme transport and metabolism,A0A0H3K992,162764,163306,+
SYNPCC7942_RS00820,Synpcc7942_0162,SYNPCC7942_RS00820,SYNPCC7942_0162,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K3B7,163405,163755,+
SYNPCC7942_RS00825,Synpcc7942_0163,SYNPCC7942_RS00825,SYNPCC7942_0163,conserved hypothetical protein,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H3K5U4,163761,164510,+
SYNPCC7942_RS00830,Synpcc7942_0164,rsfS,iojap,Iojap-related protein,ribosome silencing factor,"Translation, ribosomal structure and biogenesis",A0A0H3K2R8,164548,164967,+
SYNPCC7942_RS00835,Synpcc7942_0165,SYNPCC7942_RS00835,SYNPCC7942_0165,hypothetical protein,CGLD27 family protein,Function unknown,A0A0H3K2P1,164986,165486,+
SYNPCC7942_RS00840,Synpcc7942_0166,SYNPCC7942_RS00840,SYNPCC7942_0166,conserved hypothetical protein,asparaginase,Amino acid transport and metabolism,A0A0H3K985,165483,166436,+
SYNPCC7942_RS00850,Synpcc7942_0167,SYNPCC7942_RS00850,SYNPCC7942_0167,hypothetical protein,hypothetical protein,No COG annotation,Q31RX0,166695,166925,-
SYNPCC7942_RS00855,Synpcc7942_0168,SYNPCC7942_RS00855,SYNPCC7942_0168,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31RW9,167065,167748,+
SYNPCC7942_RS00860,Synpcc7942_0169,SYNPCC7942_RS00860,glnN,glutamine synthetase type III subunit,glutamine synthetase III,Function unknown,A0A0H3K5T9,168176,170347,+
SYNPCC7942_RS00865,,SYNPCC7942_RS00865,SYNPCC7942_RS00865,SYNPCC7942_RS00865,hypothetical protein,No COG annotation,UPI000584411C,170435,170752,+
SYNPCC7942_RS00870,Synpcc7942_0171,SYNPCC7942_RS00870,cysM,cysteine synthase,cysteine synthase A,Amino acid transport and metabolism,UPI000046015D,170929,171915,+
SYNPCC7942_RS00875,Synpcc7942_0172,SYNPCC7942_RS00875,SYNPCC7942_0172,hypothetical protein,hypothetical protein,No COG annotation,Q31RW5,171912,172205,+
SYNPCC7942_RS00880,Synpcc7942_0173,SYNPCC7942_RS00880,cysQ,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase-like,3'(2')%2C5'-bisphosphate nucleotidase CysQ,Inorganic ion transport and metabolism,A0A0H3K2N4,172202,173071,-
SYNPCC7942_RS00885,Synpcc7942_0174,rsmI,SYNPCC7942_0174,Protein of unknown function UPF0011,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,Coenzyme transport and metabolism,A0A0H3K977,173111,173989,+
SYNPCC7942_RS00890,Synpcc7942_0175,SYNPCC7942_RS00890,SYNPCC7942_0175,hypothetical protein,DUF1049 domain-containing protein,No COG annotation,Q31RW2,173986,174198,+
SYNPCC7942_RS13665,Synpcc7942_0176,SYNPCC7942_RS13665,SYNPCC7942_RS13665,SYNPCC7942_RS13665,hypothetical protein,No COG annotation,A0A0H3K3B0,174311,174712,+
SYNPCC7942_RS00900,Synpcc7942_0177,SYNPCC7942_RS00900,SYNPCC7942_0177,"ABC-type uncharacterized transport system, permease component",ABC-2 family transporter protein,Function unknown,Q31RW0,174709,175497,-
SYNPCC7942_RS00905,Synpcc7942_0178,SYNPCC7942_RS00905,SYNPCC7942_0178,"ABC-type uncharacterized transport system, ATPase component",ATP-binding cassette domain-containing protein,Function unknown,UPI0002DEFCC6,175494,176477,-
SYNPCC7942_RS00910,Synpcc7942_0179,SYNPCC7942_RS00910,csaA,Secretion chaperone CsaA,tRNA-binding protein,"Translation, ribosomal structure and biogenesis",UPI000585580C,176757,177095,+
SYNPCC7942_RS00915,Synpcc7942_0180,SYNPCC7942_RS00915,SYNPCC7942_0180,conserved hypothetical protein,DUF4435 domain-containing protein,Function unknown,A0A0H3K966,177550,178422,-
SYNPCC7942_RS00920,Synpcc7942_0181,SYNPCC7942_RS00920,SYNPCC7942_0181,ATPase,AAA family ATPase,Defense mechanisms,A0A0H3K3A6,178419,179792,-
SYNPCC7942_RS00925,Synpcc7942_0182,SYNPCC7942_RS00925,SYNPCC7942_0182,hypothetical protein,class I SAM-dependent methyltransferase,"Translation, ribosomal structure and biogenesis",Q31RV5,180156,180881,-
SYNPCC7942_RS00930,Synpcc7942_0183,SYNPCC7942_RS00930,SYNPCC7942_0183,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31RV4,181078,181467,+
SYNPCC7942_RS00935,Synpcc7942_0184,SYNPCC7942_RS00935,SYNPCC7942_0184,putative phosphate permease,inorganic phosphate transporter,Inorganic ion transport and metabolism,A0A0H3K2M2,181464,182555,+
SYNPCC7942_RS00940,Synpcc7942_0185,SYNPCC7942_RS00940,SYNPCC7942_RS00940,SYNPCC7942_RS00940,gamma-glutamyltransferase,Amino acid transport and metabolism,Q31RV2,182620,184146,+
SYNPCC7942_RS00945,Synpcc7942_0186,SYNPCC7942_RS00945,SYNPCC7942_0186,uncharacterized protein,hypothetical protein,No COG annotation,UPI00003A06ED,184160,184411,+
SYNPCC7942_RS00950,Synpcc7942_0187,SYNPCC7942_RS00950,SYNPCC7942_0187,conserved hypothetical protein,HlyC/CorC family transporter,Function unknown,A0A0H3K3A0,184418,185461,-
SYNPCC7942_RS00955,Synpcc7942_0188,SYNPCC7942_RS00955,SYNPCC7942_RS00955,SYNPCC7942_RS00955,EAL domain-containing protein,Signal transduction mechanisms,A0A0H3K5S2,185682,187418,+
SYNPCC7942_RS00960,Synpcc7942_0189,guaA,guaA,GMP synthase,glutamine-hydrolyzing GMP synthase,Nucleotide transport and metabolism,Q5N2F8,187531,189135,-
SYNPCC7942_RS00965,Synpcc7942_0190,SYNPCC7942_RS00965,cbiD,cobalt-precorrin-6A synthase,cobalt-precorrin-5B (C(1))-methyltransferase,Coenzyme transport and metabolism,Q31RU7,189273,190397,-
SYNPCC7942_RS00970,Synpcc7942_0191,SYNPCC7942_RS00970,serC,phosphoserine transaminase,alanine--glyoxylate aminotransferase family protein,Amino acid transport and metabolism,A0A0H3K2P4,190472,191620,+
SYNPCC7942_RS00975,Synpcc7942_0192,SYNPCC7942_RS00975,SYNPCC7942_0192,conserved hypothetical protein YCF60,hypothetical protein,Function unknown,A0A0H3K2L7,191710,192186,-
SYNPCC7942_RS00980,Synpcc7942_0193,SYNPCC7942_RS00980,SYNPCC7942_0193,conserved hypothetical protein,hypothetical protein,No COG annotation,UPI0000460151,192247,192471,-
SYNPCC7942_RS00985,Synpcc7942_0194,polA,polA,DNA polymerase I,DNA polymerase I,"Replication, recombination and repair",UPI0012DEE9CE,192655,195549,-
SYNPCC7942_RS00990,Synpcc7942_0195,SYNPCC7942_RS00990,SYNPCC7942_0195,conserved hypothetical protein,pentapeptide repeat-containing protein,Signal transduction mechanisms,A0A0H3K5R5,195630,196058,+
SYNPCC7942_RS00995,Synpcc7942_0196,SYNPCC7942_RS00995,SYNPCC7942_RS00995,SYNPCC7942_RS00995,carotenoid oxygenase family protein,Energy production and conversion,A0A0H3K2N7,196094,197575,-
SYNPCC7942_RS01000,Synpcc7942_0197,fbt,SYNPCC7942_0197,folate/biopterin transporter,folate/biopterin family MFS transporter,Carbohydrate transport and metabolism,O68867,197572,198933,-
SYNPCC7942_RS01005,Synpcc7942_0198,SYNPCC7942_RS01005,ndbC,type 2 NADH dehydrogenase NdbC monomer,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,A0A0H3K945,198993,200429,-
SYNPCC7942_RS01010,Synpcc7942_0199,SYNPCC7942_RS01010,SYNPCC7942_0199,conserved hypothetical protein,DUF2231 domain-containing protein,Function unknown,Q31RT8,200426,201352,-
SYNPCC7942_RS01015,Synpcc7942_0200,SYNPCC7942_RS01015,SYNPCC7942_0200,conserved hypothetical protein,DUF2231 domain-containing protein,Function unknown,UPI000046014D,201352,201888,-
SYNPCC7942_RS01020,Synpcc7942_0201,SYNPCC7942_RS01020,ccoO,cytochrome oxidase cytochrome c subunit,cbb3-type cytochrome c oxidase subunit II,Energy production and conversion,A0A0H3K2N1,201889,202641,-
SYNPCC7942_RS01025,Synpcc7942_0202,SYNPCC7942_RS01025,ccoN,Cbb3-type cytochrome oxidase subunit 1-like,cbb3-type cytochrome c oxidase subunit I,Energy production and conversion,UPI00003A06DF,202638,203957,-
SYNPCC7942_RS01030,Synpcc7942_0203,ribD,ribD1,RibD Riboflavin-specific deaminase,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,Coenzyme transport and metabolism,Q31RT4,204483,205589,-
SYNPCC7942_RS01035,Synpcc7942_0204,SYNPCC7942_RS01035,SYNPCC7942_0204,conserved hypothetical protein,DUF3122 domain-containing protein,Function unknown,A0A0H3K389,205582,206046,-
SYNPCC7942_RS01040,Synpcc7942_0205,SYNPCC7942_RS01040,SYNPCC7942_0205,nicotinamide mononucleotide adenylyltransferase,bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase,Nucleotide transport and metabolism,Q31RT2,206198,207214,+
SYNPCC7942_RS01045,Synpcc7942_0206,SYNPCC7942_RS01045,pncB,nicotinic acid phosphoribosyltransferase,nicotinate phosphoribosyltransferase,Coenzyme transport and metabolism,A0A0H3K2M5,207362,208750,+
SYNPCC7942_RS01055,Synpcc7942_0208,SYNPCC7942_RS01055,SYNPCC7942_0208,TPR repeat,tetratricopeptide repeat protein,Cell wall/membrane/envelope biogenesis,Q31RS9,209056,211827,+
SYNPCC7942_RS01060,Synpcc7942_0209,SYNPCC7942_RS01060,maf,maf protein,septum formation inhibitor Maf,"Cell cycle control, cell division, chromosome partitioning",UPI00003A06D9,211824,212450,-
SYNPCC7942_RS01065,Synpcc7942_0210,SYNPCC7942_RS01065,SYNPCC7942_0210,conserved hypothetical protein,hypothetical protein,No COG annotation,Q31RS7,212496,212897,+
SYNPCC7942_RS01070,Synpcc7942_0211,cobQ,cobQ,cobyric acid synthase CobQ,cobyric acid synthase CobQ,Coenzyme transport and metabolism,Q31RS6,212909,214384,+
SYNPCC7942_RS01075,Synpcc7942_0212,aroC,aroC,chorismate synthase,chorismate synthase,Amino acid transport and metabolism,Q31RS5,214471,215559,+
SYNPCC7942_RS01080,Synpcc7942_0213,SYNPCC7942_RS01080,SYNPCC7942_0213,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K385,215643,216188,-
SYNPCC7942_RS01085,Synpcc7942_0214,SYNPCC7942_RS01085,SYNPCC7942_0214,conserved hypothetical protein,AEC family transporter,Function unknown,UPI00058484F7,216461,217432,+
SYNPCC7942_RS01090,Synpcc7942_0215,SYNPCC7942_RS01090,SYNPCC7942_0215,conserved hypothetical protein,hypothetical protein,"Replication, recombination and repair",A0A0H3K2M0,217424,217813,-
SYNPCC7942_RS01095,Synpcc7942_0216,SYNPCC7942_RS01095,SYNPCC7942_0216,putative zinc-binding oxidoreductase,zinc-dependent alcohol dehydrogenase family protein,Energy production and conversion,Q31RS1,217948,218964,-
SYNPCC7942_RS01100,Synpcc7942_0217,SYNPCC7942_RS01100,SYNPCC7942_0217,phosphatases-like,HAD family hydrolase,Function unknown,UPI00003A06D1,219107,219871,+
SYNPCC7942_RS01110,Synpcc7942_0218,SYNPCC7942_RS01110,SYNPCC7942_0218,conserved hypothetical protein,PCP reductase family protein,Function unknown,A0A0H3K381,220024,220191,-
SYNPCC7942_RS01115,Synpcc7942_0219,SYNPCC7942_RS01115,SYNPCC7942_0219,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K5P4,220316,220636,-
SYNPCC7942_RS01120,Synpcc7942_0220,SYNPCC7942_RS01120,minD,probable cell division inhibitor MinD,MinD/ParA family protein,"Cell cycle control, cell division, chromosome partitioning",A0A0H3K2L5,220639,221397,-
SYNPCC7942_RS01125,Synpcc7942_0221,SYNPCC7942_RS01125,glk,glucokinase,glucokinase,Coenzyme transport and metabolism,A0A0H3K2K1,221498,222535,+
SYNPCC7942_RS01130,Synpcc7942_0222,SYNPCC7942_RS01130,SYNPCC7942_0222,conserved hypothetical protein,SDR family oxidoreductase,Carbohydrate transport and metabolism,A0A0H3K915,222532,223398,+
SYNPCC7942_RS01135,Synpcc7942_0223,SYNPCC7942_RS01135,SYNPCC7942_0223,hypothetical protein,hypothetical protein,No COG annotation,Q31RR4,223395,223805,-
SYNPCC7942_RS01140,Synpcc7942_0224,psbN,psbN,PsbN,photosystem II reaction center protein PsbN,Function unknown,Q31RR3,223821,223961,-
SYNPCC7942_RS01145,Synpcc7942_0225,psbH,psbH,PsbH,photosystem II reaction center protein PsbH,Function unknown,Q31RR2,224060,224263,+
SYNPCC7942_RS01150,Synpcc7942_0226,SYNPCC7942_RS01150,tatA,Sec-independent protein translocase TatA subunit,TatA/E family twin arginine-targeting protein translocase,"Intracellular trafficking, secretion, and vesicular transport",Q31RR1,224357,224632,+
SYNPCC7942_RS01155,Synpcc7942_0227,SYNPCC7942_RS01155,pth,peptidyl-tRNA hydrolase,aminoacyl-tRNA hydrolase,"Translation, ribosomal structure and biogenesis",Q31RR0,224629,225255,+
SYNPCC7942_RS01160,Synpcc7942_0228,SYNPCC7942_RS01160,SYNPCC7942_0228,conserved hypothetical protein,DUF3146 family protein,Function unknown,A0A0H3K377,225284,225544,+
SYNPCC7942_RS01165,Synpcc7942_0229,SYNPCC7942_RS01165,SYNPCC7942_0229,hypothetical protein,hypothetical protein,Function unknown,Q31RQ8,225658,226221,+
SYNPCC7942_RS01170,Synpcc7942_0230,SYNPCC7942_RS01170,SYNPCC7942_0230,hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2L0,226263,227309,-
SYNPCC7942_RS01175,Synpcc7942_0231,SYNPCC7942_RS01175,SYNPCC7942_0231,putative acetyltransferase,GNAT family N-acetyltransferase,Cell wall/membrane/envelope biogenesis,A0A0H3K2J8,227407,227931,-
SYNPCC7942_RS01180,Synpcc7942_0232,aroA,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,3-phosphoshikimate 1-carboxyvinyltransferase,Amino acid transport and metabolism,Q31RQ5,227939,229285,-
SYNPCC7942_RS01185,Synpcc7942_0233,SYNPCC7942_RS01185,SYNPCC7942_0233,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K909,229629,230054,-
SYNPCC7942_RS01190,Synpcc7942_0234,SYNPCC7942_RS01190,SYNPCC7942_0234,conserved hypothetical protein,alpha/beta fold hydrolase,Lipid transport and metabolism,A0A0H3K372,230158,231150,-
SYNPCC7942_RS01195,Synpcc7942_0235,SYNPCC7942_RS01195,SYNPCC7942_0235,cyclic nucleotide-binding domain (cNMP-BD) protein,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,A0A0H3K5N4,231162,231677,+
SYNPCC7942_RS01200,Synpcc7942_0236,SYNPCC7942_RS01200,SYNPCC7942_0236,cyclic nucleotide-binding domain (cNMP-BD) protein,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,A0A0H3K2K5,232018,232557,+
SYNPCC7942_RS01205,Synpcc7942_0237,SYNPCC7942_RS01205,SYNPCC7942_0237,conserved hypothetical protein,hypothetical protein,No COG annotation,A0A0H3K2J4,232565,233143,-
SYNPCC7942_RS01210,Synpcc7942_0238,SYNPCC7942_RS01210,SYNPCC7942_0238,conserved hypothetical protein,sulfite exporter TauE/SafE family protein,Function unknown,A0A0H3K901,233143,234324,-
SYNPCC7942_RS01215,Synpcc7942_0239,SYNPCC7942_RS01215,petJ1,cytochrome C6,c-type cytochrome,Energy production and conversion,Q31RP8,234331,234669,-
SYNPCC7942_RS01220,Synpcc7942_0240,SYNPCC7942_RS01220,apcD,hypothetical protein,allophycocyanin alpha-B chain,Energy production and conversion,P11390,234851,235342,-
SYNPCC7942_RS01225,Synpcc7942_0241,rlmD,rumA,23S rRNA (Uracil-5-)-methyltransferase,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,"Translation, ribosomal structure and biogenesis",Q31RP6,235487,236854,+
SYNPCC7942_RS01235,Synpcc7942_0242,SYNPCC7942_RS01235,SYNPCC7942_0242,K+-dependent Na+/Ca+ exchanger related-protein,calcium/sodium antiporter,Inorganic ion transport and metabolism,Q31RP5,237166,238275,-
SYNPCC7942_RS01240,Synpcc7942_0243,SYNPCC7942_RS01240,hliC,possible high light inducible polypeptide HliC,high light inducible protein,Function unknown,A0A0H3K2J0,238379,238522,-
SYNPCC7942_RS01245,Synpcc7942_0244,glgP,glg,glycogen phosphorylase,glycogen/starch/alpha-glucan phosphorylase,Carbohydrate transport and metabolism,A0A0H3K8Y8,238622,241156,-
SYNPCC7942_RS01250,Synpcc7942_0245,gap,gap1,"glyceraldehyde-3-phosphate dehydrogenase, NAD+-dependent",type I glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,A0A0H3K365,241168,242229,-
SYNPCC7942_RS01255,Synpcc7942_0246,SYNPCC7942_RS01255,SYNPCC7942_0246,"ABC-type amino acid transport system, extracellular solute-binding protein",amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0H3K5M3,242421,243500,+
SYNPCC7942_RS01260,Synpcc7942_0247,SYNPCC7942_RS01260,bgtB,"ABC-type amino acid transport system, permease subunit",ABC transporter permease subunit,Inorganic ion transport and metabolism,Q31RP0,243507,244640,+
SYNPCC7942_RS01265,Synpcc7942_0248,SYNPCC7942_RS01265,SYNPCC7942_0248,"ABC-type amino acid transport system, permease protein",amino acid ABC transporter permease,Inorganic ion transport and metabolism,Q31RN9,244642,245832,+
